일련번호,한자이름,한국어이름,대분류,소분류,분류근거,소속행정구역(省),소속행정구역(府/州),소속행정구역(縣),소속행정구역(기층),『표ᄒᆡ록』,「서이방익사」,『승정원일기』,『일성록』,경도,위도,현재 위치 광역 단위,현재 위치 기초 단위,출처(논문),출처(1차사료),
MS_001,西陽嶺,서양령,산계 지명,고개,嶺,福建,建寧,浦城,-,서양녕,西陽嶺,西陽嶺,-,118.49,27.89,중국_푸젠성,난핑시_푸청현,"권무일, 2020, 179쪽","「浦城山川城池之圖」, 『光緖續修浦城縣志』, 1~2쪽.",현재 잔존 지명
MS_002,仙霞嶺,선하령,산계 지명,고개,嶺,浙江,衢州,江山,-,현무영,仙霞嶺,-,-,118.51,28.36,중국_저장성,취저우시_장산시,,,현재 잔존 지명
MS_003,梅嶺,매령,산계 지명,고개,嶺,浙江,嚴州,壽昌,-,매령,-,-,-,119.17,29.23,중국_저장성,항저우시_젠더시,"남호현, 2021a, 120쪽",,
MS_004,南屛山,남병산,산계 지명,산,山,浙江,杭州,錢塘,-,남병산,-,-,-,-,-,-,-,,,표기 안함. 구라임
