일련번호,한자이름,한국어이름,대분류,소분류,분류근거,소속행정구역(省),소속행정구역(府/州),소속행정구역(縣),소속행정구역(기층),『표ᄒᆡ록』,「서이방익사」,『승정원일기』,『일성록』,경도,위도,현재 위치 광역 단위,현재 위치 기초 단위,출처(논문),출처(1차사료),,
WS_001,八里江,팔리강,수계 지명,하천,江,江西,九江,-,-,-,-,-,-,116.19,29.83,중국_장시성,주장시_차이쌍구,󰡔周行備覽󰡕 / 호구현 건너편,,,
WS_002,洞庭湖,동정호,수계 지명,호수,湖,湖南,岳州,-,-,동정호,洞庭湖,洞庭湖,-,112.83,29.27,중국_후난성,웨양시,-,,,
WS_003,赤壁江,적벽강,수계 지명,하천,江,-,-,-,-,젹벽강,-,-,-,-,-,-,-,"실제 방문지 아님; 남호현, 2021a, 126쪽",,,
WS_004,太湖,태호,수계 지명,호수,湖,江蘇,蘇州,-,-,-,東洞庭,-,-,120.32,31.27,중국_장쑤성,쑤저우시_우중구,-,,,
WS_005,瓜洲,과주,수계 지명,모래톱,洲,江蘇,揚州,江都,-,-,瓜洲*,-,-,119.44,32.26,중국_장쑤성,전장시_룬저우구,역주,,???,본문에는 없는거 아닌가?
WS_006,淸江阜,청강부,수계 지명,부두,阜,江蘇,淮安,淸河,-,-,淸江阜*,-,-,119.01,33.59,중국_장쑤성,화이안시_칭허구,-,,,
